Mod,T,T error,chi,NDF,(TGE),T,T error,chi,NDF
boltz,0.128582,0.00887179,0.00939135,14,,0.20484,0.0100693,202.952,14
2001,0.160579,0.00637178,0.00325508,14,,0.205062,0.00171166,142.726,14
1012,0.204245,0.00799295,0.00224944,14,,0.252343,0.00319105,68.1397,14
1505,0.146943,0.00915858,0.000609387,13,,0.153148,0.0177849,6.32265,13
Andr,0.580316,0.0372233,0.000612579,13,,0.636796,0.112047,7.3238,13
1805,1.15545,0.136941,0.000642302,13,,0.0314888,0.00715083,22.4965,13
2001 Hag,6.74968,1.35073,0.000788595,13,,0.0168843,0.00868536,22.0801,13
Nameless,0.0265102,0.00325887,0.000631202,13,,0.0573424,0.00798438,6.59624,13
1203_1,19.1641,21.9784,0.00461804,13,,_,_,_,_
1203_2,0.533994,0.0532431,0.00265063,14,,0.459162,0.0217468,9.69327,14
1203_3,0.0739276,0.0398889,0.00404785,13,,0.34492,0.0647669,8.54911,13
1905_1,0.203959,0.00803695,0.00224967,14,,0.252342,0.00319126,68.1397,14
1905_2,0.0499278,0.00853911,0.000609342,13,,0.0618915,0.0156485,6.32265,13
1905_3,0.1422,0.0453036,0.00337792,13,,0.237595,0.0131518,5.44612,13
