Mod,T,T error,chi,NDF,(TGE),T,T error,chi,NDF
boltz,0.270319,0.0289796,1.06116,13,,0.356303,0.0064901,69.5901,13
2001,0.339526,0.0249704,0.517446,14,,0.406435,0.00865203,44.8715,14
1012,0.430311,0.0378549,0.505289,14,,0.51585,0.015729,40.4202,14
1505,0.410147,0.116871,0.504052,13,,0.487008,0.032922,39.393,13
Andr,1.8338,1,0.512458,13,,2.25478,0.262191,34.427,13
1805,2.1089,1.62236,0.578132,13,,_,_,_,_
2001 Hag,14.7635,6.39875,0.469224,13,,_,_,_,_
Nameless,0.240287,0.164167,0.507142,13,,_,_,_,_
1203_1,1.71863,1.20434,0.862326,13,,1.00113,0.155562,79.4418,13
1203_2,1.60112,0.56247,0.788402,14,,1.0188,0.117327,81.7348,14
1203_3,0.078096,0.0462153,0.918054,13,,1.0676,0.278868,79.4418,13
1905_1,0.430243,0.0379526,0.505288,14,,0.515846,0.0157319,40.4202,14
1905_2,0.0908988,0.0781138,0.534645,13,,0.449973,0.104753,39.393,13
1905_3,_,_,_,_,,0.834549,0.0456373,55.0698,13
