Mod,T,T error,chi,NDF,(TGE),T,T error,chi,NDF
boltz,0.147866,0.0240915,39.934,13,,0.18948,0.00517171,66.4913,13
2001,0.181873,0.0164171,12.9758,13,,0.23466,0.00726723,29.9476,13
1012,0.209393,0.0207304,12.2731,13,,0.270358,0.00930486,22.7468,13
1505,0.092536,0.0144713,3.90192,12,,0.189456,0.0154231,2.96489,12
Andr,0.558755,0.0696004,3.20854,12,,1.16753,0.146848,2.95774,12
1805,0.627315,0.113903,2.52452,12,,_,_,_,_
2001 Hag,7.58453,3.69353,0.72539,12,,76.5647,64.809,4.40584,12
Nameless,0.0351419,0.00828038,8.84629,12,,_,_,_,_
1203_1,_,_,_,_,,0.652928,0.0583586,43.7425,12
1203_2,0.625713,0.0805029,6.32572,13,,0.529408,0.0372626,48.5523,13
1203_3,_,_,_,_,,_,_,_,_
1905_1,0.209394,0.0207563,12.2731,13,,0.270358,0.00930633,22.7468,13
1905_2,0.0217151,0.00642419,8.48191,12,,0.0425418,0.00918163,3.07865,12
1905_3,0.343978,0.0186171,0.725389,12,,0.392879,0.0529816,4.38152,12
