Mod,T,T error,chi,NDF,(TGE),T,T error,chi,NDF
boltz,0.240677,0.0333796,2.0901,13,,0.347406,0.00552585,83.112,13
2001,0.302624,0.0289282,1.05613,14,,0.402203,0.00939504,88.4208,14
1012,0.375927,0.041948,1.00854,14,,0.535838,0.0161593,70.6,14
1505,0.247914,0.0906605,0.901685,13,,0.435033,0.0270103,49.0323,13
Andr,0.937828,0.381335,0.892819,13,,0.652504,0.0330597,73.9582,13
1805,0.903237,0.533977,0.849624,13,,_,_,_,_
2001 Hag,13.9168,28.1871,0.688016,13,,_,_,_,_
Nameless,0.0364083,0.0171899,0.908046,13,,_,_,_,_
1203_1,0.958899,1260000,1.20776,13,,2.12466,0.825722,69.5225,13
1203_2,1.20638,0.302939,0.749946,14,,0.964589,0.0704603,70.1704,14
1203_3,0.0368327,0.0160121,0.914206,13,,0.0143541,0.00809633,69.4703,13
1905_1,0.375998,0.0419641,1.00854,14,,0.535837,0.0161602,70.5931,14
1905_2,0.0969341,0.0694187,0.916091,13,,0.32333,0.0500775,49.0323,13
1905_3,0.519346,0.157428,0.688016,13,,0.709076,0.0346913,66.5298,13
