pT(GeV)	lmbar/lm	errpT	error
0.325	1.363939406	0.175	0.157287694
0.6	1.14124924	0.1	0.031209304
0.75	1.097665994	0.05	0.033250953
0.85	1.303522368	0.05	0.284924157
0.95	1.175037	0.05	0.079548779
1.05	1.090190353	0.05	0.09002886
1.15	0.960820849	0.05	0.096616522
1.275	0.98681051	0.075	0.03949299
1.425	1.043316413	0.075	0.036223429
1.6	1.07632505	0.1	0.033369939
1.85	1.095626072	0.15	0.031028325
2.25	1.083446312	0.25	0.030190431
2.75	1.027421316	0.25	0.039900619
3.5	1.067903279	0.5	0.051865224
4.5	0.863636364	0.5	0.094345925
5.5	0.445735789	0.5	0.177378487
