pT	lmbar to lm	pt err	lmbar to lm err
0.325	0.984439811	0.175	0.075548935
0.6	0.913259813	0.1	0.05769303
0.75	0.906065185	0.05	0.063886647
0.85	0.910574306	0.05	0.060760089
0.95	0.900304591	0.05	0.060198729
1.05	0.895411554	0.05	0.059713267
1.15	0.915133276	0.05	0.062067085
1.275	0.894386168	0.075	0.057322427
1.425	0.899631008	0.075	0.059569596
1.6	0.887409941	0.1	0.057649863
1.85	0.909497415	0.15	0.058325256
2.25	0.913373368	0.25	0.060457894
3	0.931976918	0.5	0.07076998
4	0.992818097	0.5	0.165203399
5.75	1.14573378	1.25	0.555009769
