pT(GeV)	lmbar/lm	errpT	error
0.15	0.92366301	0.14	0.030344803
0.5	0.94013744	0.1	0.029056815
0.7	0.98090415	0.1	0.040168425
0.8	0.93740338	0.05	0.045862186
0.9	0.88067938	0.05	0.051986141
1	0.90195194	0.05	0.054326512
1.1	0.84279847	0.05	0.062147741
1.2	0.90228144	0.05	0.051345659
1.35	0.89518768	0.1	0.059145528
1.5	0.91104936	0.05	0.058155754
1.7	0.85644957	0.15	0.064763615
2	0.84509123	0.15	0.069247141
2.5	0.72898812	0.35	0.13461544
3.5	1.2108184	0.65	0.191011894
4.5	0.59348425	0.35	1.308219463
