pT	sig	pt err	sig err
0.325	377.539366	0.175	19.49581632
0.6	480.2749325	0.1	21.3446042
0.75	495.4091685	0.05	24.90826892
0.85	457.753489	0.05	21.51197957
0.95	436.724183	0.05	20.25976808
1.05	401.6767285	0.05	18.7944337
1.15	365.4811905	0.05	17.42334959
1.275	327.7217975	0.075	14.89379949
1.425	275.355805	0.075	12.73752971
1.6	221.8190815	0.1	10.1439311
1.85	151.4121945	0.15	6.860133039
2.25	85.997549	0.25	3.974694044
3	28.738723	0.5	1.526589391
4	5.973069	0.5	0.672041586
5.75	0.984607	1.25	0.286805798
