pT	sig	pt err	sig err
0.325	371.664782	0.175	21.0996163
0.6	438.615795	0.1	19.69208487
0.75	448.873	0.05	22.18978495
0.85	416.8185655	0.05	19.74515507
0.95	393.184787	0.05	18.93358204
1.05	359.6659835	0.05	17.09075537
1.15	334.463999	0.05	16.13526554
1.275	293.1098425	0.075	13.24623282
1.425	247.7186205	0.075	11.73637604
1.6	196.844458	0.1	9.082730117
1.85	137.7089995	0.15	6.24986148
2.25	78.547871	0.25	3.721873575
3	26.7838265	0.5	1.453373347
4	5.930171	0.5	0.727008721
5.75	1.1280975	1.25	0.436629875
