pT(GeV)	sig (mb/(GeV)c)	errpT	errsig
0.15	7.207915589	0.14	0.14094906
0.5	8.114439938	0.1	0.15490148
0.7	7.002909425	0.1	0.194234727
0.8	6.472639779	0.05	0.194047272
0.9	5.526462012	0.05	0.174625473
1	4.942535179	0.05	0.168767297
1.1	4.020002317	0.05	0.1436309
1.2	3.337737122	0.05	0.108077085
1.35	2.553137332	0.1	0.094405393
1.5	1.905689808	0.05	0.071266364
1.7	1.259488332	0.15	0.048657511
2	0.556800503	0.15	0.022879453
2.5	0.181085386	0.35	0.012171887
3.5	0.048634572	0.65	0.008678882
4.5	0.038113781	0.35	0.023985082
