ptGeV	sig         
0.05	0.232093718 0.05
0.15	0.586475598 0.05
0.25	0.835869856 0.05
0.35	0.95781897  0.05
0.45	0.984138523 0.05
0.55	0.935280728 0.05
0.65	0.882142719 0.05
0.75	0.769579857 0.05
0.85	0.677500327 0.05
0.95	0.569948167 0.05
1.05	0.481647527 0.05
1.15	0.422101631 0.05
1.25	0.358334708 0.05
1.35	0.299856107 0.05
1.45	0.258251346 0.05
1.55	0.225292847 0.05
1.65	0.188104351 0.05
1.75	0.157994906 0.05
1.85	0.132711734 0.05
1.95	0.116216046 0.05
2.1	0.094055792 0.1
2.3	0.071583878 0.1
2.5	0.05046693  0.1
2.7	0.03797516  0.1
2.9	0.029881557 0.1
3.15	0.020954091 0.15
3.45	0.014297211 0.15
3.75	0.010302077 0.15
4.05	0.007023803 0.15
4.4	0.004898503 0.2
4.8	0.003271651 0.2
5.2	0.00220837  0.2
5.65	0.001522497 0.25
