pt GeV	sig
0.45	40.49982985
0.55	40.05798056
0.65	37.82834353
0.75	35.37112892
0.85	31.64593061
0.95	27.77335748
1.05	24.16075238
1.15	20.62755933
1.25	17.15765746
1.35	14.3955376
1.45	11.89543772
1.55	9.791987336
1.65	8.034596998
1.75	6.514328157
1.85	5.422503652
1.95	4.407418197
2.1	3.283368799
2.3	2.146419164
2.5	1.457003856
2.7	0.960628044
2.9	0.6518921
3.1	0.45128387
3.3	0.30426253
3.5	0.214566038
3.7	0.152341243
3.9	0.110315748
4.25	0.066776567
4.75	0.034521925
5.25	0.018923536
6	0.009101107
7.25	0.00352056
9	0.001239557
11	0.000437937
