ptGeV	sig
0.041425489	0.232093718
0.146649541	0.586475598
0.244926967	0.835869856
0.343233566	0.95781897
0.44155475	0.984138523
0.543983236	0.935280728
0.645242201	0.882142719
0.743585264	0.769579857
0.851291382	0.677500327
0.947298241	0.569948167
1.051303138	0.481647527
1.151011217	0.422101631
1.249357927	0.358334708
1.343999872	0.299856107
1.432004943	0.258251346
1.544394411	0.225292847
1.639916485	0.188104351
1.74811468	0.157994906
1.846462809	0.132711734
1.948902234	0.116216046
2.085297671	0.094055792
2.281983798	0.071583878
2.495262717	0.05046693
2.695266876	0.03797516
2.89311908	0.029881557
3.138978563	0.020954091
3.44102731	0.014297211
3.736045561	0.010302077
4.046483234	0.007023803
4.392814235	0.004898503
4.789679048	0.003271651
5.19278529	0.00220837
5.63958862	0.001522497
