pt GeV	
0.65	4.774002683
0.75	5.226610411
0.85	5.652334854
0.95	6.045951069
1.05	6.129906483
1.15	6.197310107
1.25	6.310397057
1.35	6.093499622
1.45	5.899843217
1.55	5.519718679
1.65	5.098480204
1.75	4.652009504
1.85	4.186657188
1.95	3.7764125
2.1	3.129168397
2.3	2.341322535
2.5	1.681871621
2.7	1.209871715
2.9	0.85185958
3.1	0.591875426
3.3	0.408419692
3.5	0.282599858
3.7	0.190428395
3.9	0.136355255
4.25	0.074856725
4.75	0.030219298
5.25	0.013803989
6	0.004870595
7.25	0.001127047
9	0.000248205
11	8.49E-05
