,,T(GeV),T error (GeV),Chi2,NDF,,,,T(GeV),T error (GeV),Chi2,NDF,,,,T(GeV),T error (GeV),Chi2,NDF
pPb(5.02TeV)K,1,0.202498,0.010778,5.52515,14,,pPb(5.02TeV)lmm,1,0.270313,0.0279471,1.06477,14,,pPb(5.02TeV)lmbar,1,0.240702,0.0321022,2.09082,14
,2,0.237833,0.00626851,1.47269,14,,,2,0.339573,0.0249036,0.517446,14,,,2,0.30261,0.0287791,1.05613,14
,3,0.32287,0.00581949,0.451645,14,,,3,0.430323,0.0378382,0.505288,14,,,3,0.375957,0.0417584,1.00854,14
,4,0.270971,0.00191359,0.00795759,13,,,4,0.410101,0.116356,0.504052,13,,,4,0.247804,0.0900152,0.901686,13
,5,0.86299,0.0135191,0.0228789,13,,,5,1.83555,0.927785,0.512457,13,,,5,0.938662,0.381211,0.892818,13
,6,68.6936,13.9559,1.46832,13,,,6,38.7784,22.5997,0.649367,13,,,6,36.0375,19.5793,1.21407,13
,,,,,,,,,,,,,,,,,,,
pp(5.02TeV)K,1,0.131545,0.0276022,322.17,13,,pp(5.02TeV)lmm,1,0.147869,0.0234957,39.934,13,,pp(5.02TeV)lmbar,1,0.156337,0.025751,48.6472,13
,2,0.161559,0.0117159,94.8542,13,,,2,0.181873,0.0163302,12.9758,13,,,2,0.190158,0.0185029,17.2642,13
,3,0.205527,0.014891,70.289,13,,,3,0.209398,0.0205971,12.2731,13,,,3,0.220053,0.0237545,16.3953,13
,4,0.119981,0.0084143,10.5099,12,,,4,0.0925377,0.0144428,3.90192,12,,,4,0.0895469,0.0164423,5.92674,12
,5,0.452276,0.0319863,9.89169,12,,,5,0.558755,0.0691706,3.20854,12,,,5,0.528949,0.0739722,4.89532,12
,6,56.6038,33.1177,106.886,12,,,6,0.627335,0.109572,2.52452,12,,,6,240.119,186.698,22.221,12
,,,,,,,,,,,,,,,,,,,
pp(7TeV)K,1,0.196,0.011,0.422,31,,pp(7TeV)lmm,1,0.275,0.014,0.017,13,,pp(0.9TeV)lmbar,1,0.185,0.005,3.99E-05,7
,2,0.237,0.006,0.092,31,,,2,0.347,0.006,0.002,13,,,2,0.22,0.006,1.79E-05,7
,3,0.326,0.006,0.036,31,,,3,0.439,0.005,0.001,13,,,3,0.259,0.007,1.70E-05,7
,4,0.257,0.003,0.002,30,,,4,0.392,0.005,0.0001,12,,,4,0.286,0.086,0.0005,6
,5,0.784,0.015,0.004,30,,,5,1.722,0.052,0.0002,12,,,5,1.485,0.062,6.61E-06,6
,6,1386.4,409.456,0.162,30,,,6,6.281,0.185,0.0002,12,,,6,54.293,1.607,8.39E-06,6
,,,,,,,,,,,,,,,,,,,
pp(0.9TeV)K,1,0.129,0.009,0.009,14,,pp(0.9TeV)lmm,1,0.198,0.007,6.36E-05,7,,,,,,,
,2,0.161,0.006,0.003,14,,,2,0.236,0.01,3.76E-05,7,,,,,,,
,3,0.204,0.008,0.002,14,,,3,0.277,0.013,3.47E-05,7,,,,,,,
,4,0.232,0.024,0.003,13,,,4,0.286,0.08,0.00041916,6,,,,,,,
,5,0.585,0.037,0.0001,13,,,5,1.485,0.139,2.95E-05,6,,,,,,,
,6,1.071,0.075,0.0001,13,,,6,31.601,2113.17,0.000837249,6,,,,,,,
,,,,,,,,,,,,,,,,,,,
PbPb(2.76TeV)K,1,0.242,0.005,79.4923,31,,PbPb(2.76TeV)lmm,1,0.402,0.003,0.344,29,,,,,,,
,2,0.269,0.002,18.5671,31,,,2,0.476,0.008,2.494,29,,,,,,,
,3,0.363,0.001,0.957333,31,,,3,0.629,0.018,4.675,29,,,,,,,
,4,0.354,0.003,0.665805,30,,,4,0.691,nan,2.99628,28,,,,,,,
,5,1.225,0.029,3.25673,30,,,5,26.42,2.683,0.398678,28,,,,,,,
,6,0.395,0.269,1.71918,30,,,6,302.08,8.332,2.57712,28,,,,,,,
