pT	sig	errpT	errsig
0.325	6.902	0.175	0.421420395
0.6	6.7534	0.1	0.073438551
0.75	5.7764	0.05	0.063706545
0.85	4.993	0.05	0.052879808
0.95	4.22338	0.05	0.043758197
1.05	3.57894	0.05	0.036974457
1.15	3.05068	0.05	0.03218587
1.275	2.45982	0.075	0.024805457
1.425	1.86606	0.075	0.019677
1.6	1.39502	0.1	0.014902403
1.85	0.90556	0.15	0.00984183
2.25	0.470338	0.25	0.005510946
2.75	0.21384	0.25	0.003481902
3.5	0.08406	0.5	0.001729628
4.5	0.03698	0.5	0.001499964
5.5	0.01605	0.5	0.001064509
