pT	sig	errpT	errsig
0.325	2.02946	0.175	0.194980591
0.6	1.3506	0.1	0.026243587
0.75	1.38172	0.05	0.028084047
0.85	1.90734	0.05	0.410376517
0.95	1.66726	0.05	0.070502366
1.05	1.583	0.05	0.08562238
1.15	1.54696	0.05	0.080883018
1.275	1.13424	0.075	0.026955724
1.425	0.98656	0.075	0.023228083
1.6	0.78914	0.1	0.0157139
1.85	0.5621	0.15	0.010693576
2.25	0.31966	0.25	0.006173425
2.75	0.15212	0.25	0.00409148
3.5	0.06448	0.5	0.002167786
4.5	0.02812	0.5	0.001905571
5.5	0.02677	0.5	0.003857886
