pT	sig	errpT	errsig
0.15	24.77239696	0.14	0.101284694
0.5	21.57584015	0.1	0.119539181
0.7	16.75394427	0.1	0.151190139
0.8	13.27043188	0.05	0.132819913
0.9	10.83240442	0.05	0.122426265
1	8.665914429	0.05	0.10964227
1.1	6.801157832	0.05	0.094773139
1.2	5.403848263	0.05	0.071822159
1.35	4.040835721	0.1	0.064155201
1.5	2.866901214	0.05	0.047701551
1.7	1.697491949	0.15	0.029365472
2	0.903935329	0.15	0.018408598
2.5	0.300508853	0.35	0.010046292
3.5	0.065507105	0.65	0.004675028
4.5	0.036172668	0.35	0.003615077
