pT	Crossection	err	Crossection_Error	
0.150	6.776133505	0	0.129303059		
0.500	7.676482251	0	0.143490184		
0.700	6.746598289	0	0.184921884		
0.800	6.061075485	0	0.177013499		
0.900	4.888945814	0	0.147843841		
1.000	4.448119253	0	0.147795043		
1.100	3.317673117	0	0.11056015		
1.200	2.836620682	0	0.088292247		
1.350	2.161372144	0	0.076649529		
1.500	1.606579472	0	0.058442648		
1.700	1.072969585	0	0.04081535		
2.000	0.459548133	0	0.018797556		
2.500	0.139875135	0	0.009293177		
3.500	0.044340128	0	0.008902		
4.500	0.008033661	0	0.001825069		
