pT	Crossection	err	Crossection_Error		
0.150	26.60583792	0	0.112474139		
0.500	23.56052763	0	0.1360808		
0.700	18.53712418	0	0.173808517		
0.800	14.75204082	0	0.152594388		
0.900	12.10270239	0	0.140422077		
1.000	9.791827643	0	0.126968013		
1.100	7.679433012	0	0.108999693		
1.200	6.215440079	0	0.084083761		
1.350	4.631206805	0	0.074243253		
1.500	3.339712623	0	0.055946907		
1.700	1.986779293	0	0.034328307		
2.000	1.084316645	0	0.021948716		
2.500	0.368616724	0	0.01218102		
3.500	0.080288417	0	0.005549607		
4.500	0.045198521	0	0.004310594		
