pt GeV	
0.65	4.774002683 0.05
0.75	5.226610411 0.05
0.85	5.652334854 0.05
0.95	6.045951069 0.05
1.05	6.129906483 0.05
1.15	6.197310107 0.05
1.25	6.310397057 0.05
1.35	6.093499622 0.05
1.45	5.899843217 0.05
1.55	5.519718679 0.05
1.65	5.098480204 0.05
1.75	4.652009504 0.05
1.85	4.186657188 0.05
1.95	3.7764125   0.05
2.1	3.129168397 0.1
2.3	2.341322535 0.1
2.5	1.681871621 0.1
2.7	1.209871715 0.1
2.9	0.85185958  0.1
3.1	0.591875426 0.1
3.3	0.408419692 0.1
3.5	0.282599858 0.1
3.7	0.190428395 0.1
3.9	0.136355255 0.1
4.25	0.074856725 0.25
4.75	0.030219298 0.25
5.25	0.013803989 0.25
6	0.004870595 0.5
7.25	0.001127047 0.75
9	0.000248205 1
11	8.49E-05 1
