pT	sig	errpT	errsig
0.325	1.48794	0.175	0.094901785
0.6	1.18344	0.1	0.022772269
0.75	1.25878	0.05	0.028273764
0.85	1.46322	0.05	0.05638611
0.95	1.4189	0.05	0.075014226
1.05	1.45204	0.05	0.090610247
1.15	1.61004	0.05	0.138293155
1.275	1.1494	0.075	0.03701124
1.425	0.9456	0.075	0.024128546
1.6	0.73318	0.1	0.017422975
1.85	0.51304	0.15	0.01076293
2.25	0.29504	0.25	0.005926537
2.75	0.14806	0.25	0.004147781
3.5	0.06038	0.5	0.00211633
4.5	0.03256	0.5	0.002789875
5.5	0.060058	0.5	0.022277564
