pT	Crossection	err	Crossection_Error	
0.150	7.558357197	0	0.144332922		
0.500	9.13920357	0	0.174513335		
0.700	8.290926594	0	0.23444125		
0.800	7.621272134	0	0.231884738		
0.900	6.24876504	0	0.196605616		
1.000	5.823249441	0	0.201454103		
1.100	4.564011185	0	0.160032032		
1.200	4.028089431	0	0.131805051		
1.350	3.066465583	0	0.113094876		
1.500	2.32829842	0	0.087212381		
1.700	1.533725893	0	0.058398776		
2.000	0.699418151	0	0.028454597		
2.500	0.217478117	0	0.013668997		
3.500	0.066227605	0	0.011597365		
4.500	0.012139457	0	0.002253364		
