pT	sig	errpT	errsig
0.15	7.803620457	0.14	0.15669565
0.5	8.631120955	0.1	0.168655547
0.7	7.139239243	0.1	0.199792419
0.8	6.904860709	0.05	0.212763873
0.9	6.275225818	0.05	0.207903923
1	5.479821024	0.05	0.192578733
1.1	4.769826318	0.05	0.182684435
1.2	3.69921953	0.05	0.122567515
1.35	2.852069342	0.1	0.108080792
1.5	2.091752527	0.05	0.078508065
1.7	1.470592518	0.15	0.058530181
2	0.658864374	0.15	0.027452936
2.5	0.248406497	0.35	0.017760748
3.5	0.040166695	0.65	0.005909564
4.5	0.064220375	0.35	0.02920352
