PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	3(1)	5.568(0.149)	5.133(0.130)	4.849(0.123)	4.606(0.119)	
0.5-0.7	5.25(0.27)	5.460(0.145)	4.996(0.129)	4.477(0.115)	4.245(0.112)	
0.7-0.8	5.08(0.25)	4.644(0.129)	4.303(0.116)	3.808(0.101)	3.291(0.093)	
0.8-0.9	4.24(0.18)	4.060(0.113)	3.795(0.103)	3.174(0.085)	2.967(0.087)	
0.9-1.0	3.78(0.16)	3.542(0.100)	3.204(0.089)	2.634(0.072)	2.405(0.073)	
1.0-1.1	3.34(0.13)	3.062(0.088)	2.732(0.077)	2.251(0.062)	1.905(0.059)	
1.1-1.2	2.76(0.11)	2.601(0.076)	2.407(0.070)	1.887(0.053)	1.69(0.06)	
1.2-1.35	2.34(0.08)	2.076(0.059)	1.858(0.053)	1.539(0.043)	1.22(0.04)	
1.35-1.5	1.67(0.06)	1.623(0.048)	1.395(0.041)	1.091(0.032)	0.884(0.030)	
1.5-1.7	1.28(0.05)	1.247(0.037)	1.073(0.033)	0.7675(0.0225)	0.634(0.023)	
1.7-2.0	0.88(0.03)	0.8080(0.0246)	0.6665(0.0207)	0.5565(0.0170)	0.385(0.014)	
2.0-2.5	0.470(0.018)	0.413(0.013)	0.373(0.013)	0.256(0.008)	0.180(0.007)	
2.5-3.0	0.217(0.011)	0.170(0.007)	0.140(0.006)	0.121(0.006)	0.082(0.005)	
3.0-4.0	0.076(0.005)	0.082(0.005)	0.060(0.004)	0.0432(0.0027)	0.0336(0.0029)	
4.0-5.0	0.0283(0.0029)	0.0303(0.0031)	0.068(0.009)	0.047(0.007)	0.0074(0.0010)	
5.0-6.0	0.0159(0.0026)	0.0182(0.0028)	0.0136(0.0020)	0.0089(0.0013)	0.0027(0.0005)	
