PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	1.15(0.07)	0.96(0.05)	1.05(0.07)	49.8(31.6)	
0.5-0.7	_	1.16(0.05)	1.06(0.04)	0.93(0.04)	0.98(0.08)	
0.7-0.8	_	1.22(0.07)	1.17(0.05)	0.91(0.05)	0.83(0.07)	
0.8-0.9	0.7(0.3)	1.00(0.05)	1.12(0.05)	0.92(0.04)	1.06(0.09)	
0.9-1.0	2(1)	1.51(0.09)	1.01(0.04)	0.87(0.04)	0.85(0.07)	
1.0-1.1	0.99(0.20)	1.26(0.07)	0.97(0.04)	0.91(0.04)	0.64(0.05)	
1.1-1.2	_	1.04(0.06)	0.83(0.04)	0.69(0.03)	0.48(0.04)	
1.2-1.35	1.60(0.24)	1.02(0.05)	0.762(0.031)	0.680(0.030)	0.52(0.04)	
1.35-1.5	0.99(0.11)	0.85(0.04)	0.80(0.04)	0.576(0.027)	0.379(0.029)	
1.5-1.7	0.81(0.08)	0.75(0.04)	0.502(0.022)	0.423(0.019)	0.292(0.022)	
1.7-2.0	0.49(0.04)	0.412(0.019)	0.394(0.018)	0.270(0.012)	0.171(0.012)	
2.0-2.5	0.254(0.017)	0.298(0.015)	0.259(0.013)	0.161(0.008)	0.108(0.008)	
2.5-3.0	0.132(0.011)	0.118(0.008)	0.118(0.008)	0.101(0.007)	0.067(0.009)	
3.0-4.0	0.070(0.007)	0.043(0.003)	0.052(0.004)	0.042(0.004)	0.036(0.006)	
4.0-5.0	0.071(0.016)	0.033(0.005)	0.041(0.007)	0.0138(0.0020)	0.02(0.01)	
5.0-6.0	0.2(0.2)	_	_	_	0.01(0.01)	
