PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	1.41(0.08)	1.04(0.05)	1.16(0.07)	42.9(27.2)	
0.5-0.7	_	1.20(0.05)	1.33(0.05)	1.08(0.04)	1.24(0.09)	
0.7-0.8	_	1.63(0.09)	1.23(0.05)	1.16(0.06)	1.09(0.08)	
0.8-0.9	2(1)	1.67(0.10)	1.14(0.04)	1.11(0.05)	0.94(0.06)	
0.9-1.0	2(1)	1.48(0.09)	1.08(0.04)	0.88(0.04)	0.89(0.06)	
1.0-1.1	1.49(0.30)	1.32(0.07)	1.04(0.04)	0.96(0.04)	0.82(0.06)	
1.1-1.2	2.7(0.7)	1.13(0.06)	1.00(0.04)	0.93(0.04)	0.75(0.06)	
1.2-1.35	0.83(0.09)	1.20(0.06)	0.90(0.04)	0.758(0.031)	0.64(0.04)	
1.35-1.5	0.75(0.07)	0.90(0.05)	0.732(0.031)	0.626(0.027)	0.51(0.04)	
1.5-1.7	0.71(0.06)	0.80(0.04)	0.557(0.023)	0.503(0.022)	0.420(0.029)	
1.7-2.0	0.46(0.03)	0.510(0.023)	0.415(0.018)	0.401(0.018)	0.261(0.017)	
2.0-2.5	0.303(0.020)	0.298(0.014)	0.225(0.010)	0.192(0.009)	0.128(0.009)	
2.5-3.0	0.163(0.014)	0.116(0.007)	0.104(0.007)	0.101(0.007)	0.055(0.005)	
3.0-4.0	0.062(0.006)	0.057(0.005)	0.062(0.005)	0.047(0.004)	0.032(0.005)	
4.0-5.0	0.029(0.006)	0.0240(0.0031)	0.0215(0.0029)	0.031(0.005)	0.0112(0.0026)	
5.0-6.0	0.03(0.01)	_	_	0.015(0.005)	0.005(0.002)	
