PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	7(2)	4.291(0.081)	3.943(0.071)	3.751(0.067)	3.557(0.065)	
0.5-0.7	3.93(0.14)	4.182(0.079)	3.847(0.071)	3.463(0.063)	3.240(0.061)	
0.7-0.8	3.70(0.13)	3.630(0.072)	3.317(0.064)	2.921(0.056)	2.614(0.053)	
0.8-0.9	3.325(0.104)	3.135(0.063)	2.951(0.058)	2.456(0.047)	2.168(0.045)	
0.9-1.0	2.907(0.086)	2.717(0.055)	2.457(0.049)	2.070(0.041)	1.820(0.039)	
1.0-1.1	2.483(0.071)	2.371(0.049)	2.072(0.042)	1.759(0.035)	1.483(0.033)	
1.1-1.2	2.096(0.060)	2.001(0.042)	1.819(0.038)	1.4725(0.0301)	1.2855(0.0305)	
1.2-1.35	1.803(0.047)	1.594(0.033)	1.4399(0.0295)	1.1776(0.0237)	0.9604(0.0219)	
1.35-1.5	1.320(0.035)	1.2399(0.0267)	1.0976(0.0237)	0.8628(0.0183)	0.6708(0.0165)	
1.5-1.7	1.0178(0.0269)	0.9502(0.0208)	0.8181(0.0181)	0.6169(0.0133)	0.4877(0.0125)	
1.7-2.0	0.6779(0.0179)	0.6248(0.0141)	0.5248(0.0120)	0.4045(0.0091)	0.2885(0.0077)	
2.0-2.5	0.3531(0.0099)	0.3156(0.0078)	0.2984(0.0076)	0.1975(0.0049)	0.1357(0.0041)	
2.5-3.0	0.174(0.007)	0.134(0.005)	0.122(0.005)	0.093(0.003)	0.0609(0.0028)	
3.0-4.0	0.063(0.003)	0.0585(0.0028)	0.0581(0.0029)	0.0325(0.0016)	0.0239(0.0015)	
4.0-5.0	0.0261(0.0022)	0.0276(0.0022)	0.036(0.003)	0.0292(0.0030)	0.0063(0.0006)	
5.0-6.0	0.0191(0.0026)	0.0160(0.0020)	0.0172(0.0023)	0.0083(0.0010)	0.0028(0.0004)	
