PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	0.89(0.05)	0.71(0.04)	0.73(0.04)	3.1(0.4)	
0.5-0.7	_	0.95(0.03)	0.817(0.027)	0.729(0.026)	0.82(0.05)	
0.7-0.8	_	1.05(0.05)	0.90(0.03)	0.767(0.030)	0.78(0.05)	
0.8-0.9	1(0)	0.90(0.04)	0.847(0.029)	0.723(0.028)	0.77(0.05)	
0.9-1.0	1.22(0.29)	1.16(0.05)	0.789(0.026)	0.662(0.025)	0.63(0.04)	
1.0-1.1	1.28(0.24)	0.90(0.04)	0.720(0.025)	0.679(0.026)	0.514(0.030)	
1.1-1.2	3.0(0.6)	0.85(0.04)	0.700(0.025)	0.579(0.022)	0.411(0.024)	
1.2-1.35	1.15(0.11)	0.735(0.027)	0.5952(0.0188)	0.495(0.016)	0.412(0.022)	
1.35-1.5	0.77(0.06)	0.628(0.024)	0.582(0.020)	0.454(0.016)	0.297(0.017)	
1.5-1.7	0.59(0.04)	0.509(0.019)	0.407(0.014)	0.333(0.012)	0.209(0.011)	
1.7-2.0	0.410(0.024)	0.346(0.012)	0.318(0.011)	0.220(0.008)	0.125(0.006)	
2.0-2.5	0.228(0.012)	0.230(0.009)	0.191(0.007)	0.128(0.005)	0.080(0.004)	
2.5-3.0	0.110(0.007)	0.108(0.006)	0.105(0.006)	0.070(0.004)	0.047(0.004)	
3.0-4.0	0.063(0.005)	0.0383(0.0026)	0.0407(0.0029)	0.0316(0.0024)	0.027(0.003)	
4.0-5.0	0.037(0.005)	0.0239(0.0027)	0.031(0.004)	0.0175(0.0022)	0.03(0.01)	
5.0-6.0	0.1(0.1)	0.043(0.012)	0.1(0.0)	0.020(0.005)	0.01(0.01)	
