PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	0.76(0.03)	0.753(0.032)	0.84(0.04)	5.2(0.8)	
0.5-0.7	_	0.97(0.03)	0.9741(0.0278)	0.8862(0.0276)	1.17(0.07)	
0.7-0.8	_	1.26(0.05)	0.966(0.031)	0.94(0.03)	0.94(0.06)	
0.8-0.9	3(2)	1.29(0.05)	0.9177(0.0281)	0.857(0.030)	0.77(0.04)	
0.9-1.0	1.4(0.3)	1.05(0.04)	0.8742(0.0267)	0.758(0.026)	0.73(0.04)	
1.0-1.1	1.69(0.31)	1.03(0.04)	0.8561(0.0265)	0.759(0.026)	0.66(0.04)	
1.1-1.2	2.0(0.3)	0.86(0.03)	0.783(0.025)	0.688(0.024)	0.68(0.04)	
1.2-1.35	0.70(0.06)	0.828(0.030)	0.6977(0.0206)	0.6000(0.0185)	0.527(0.026)	
1.35-1.5	0.61(0.04)	0.713(0.027)	0.569(0.018)	0.508(0.017)	0.449(0.025)	
1.5-1.7	0.55(0.03)	0.565(0.020)	0.4650(0.0146)	0.430(0.014)	0.324(0.017)	
1.7-2.0	0.382(0.020)	0.385(0.013)	0.350(0.011)	0.307(0.010)	0.184(0.009)	
2.0-2.5	0.247(0.012)	0.224(0.008)	0.194(0.007)	0.152(0.006)	0.106(0.005)	
2.5-3.0	0.135(0.009)	0.105(0.005)	0.093(0.005)	0.075(0.004)	0.051(0.004)	
3.0-4.0	0.065(0.005)	0.0429(0.0027)	0.051(0.004)	0.0368(0.0026)	0.0266(0.0028)	
4.0-5.0	0.036(0.006)	0.0193(0.0020)	0.0228(0.0025)	0.030(0.004)	0.0091(0.0015)	
5.0-6.0	0.044(0.014)	0.040(0.010)	0.021(0.004)	0.0118(0.0023)	0.008(0.003)	
