PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	5.586(0.150)	5.109(0.130)	4.895(0.124)	4.633(0.120)	
0.5-0.7	4.98(0.26)	5.414(0.144)	4.995(0.129)	4.519(0.116)	4.174(0.110)	
0.7-0.8	4.57(0.22)	4.794(0.134)	4.313(0.116)	3.779(0.100)	3.502(0.100)	
0.8-0.9	4.42(0.20)	4.090(0.114)	3.868(0.106)	3.207(0.086)	2.678(0.078)	
0.9-1.0	3.78(0.16)	3.520(0.099)	3.179(0.088)	2.743(0.075)	2.325(0.070)	
1.0-1.1	3.12(0.13)	3.102(0.089)	2.650(0.075)	2.317(0.064)	1.947(0.061)	
1.1-1.2	2.69(0.11)	2.602(0.076)	2.319(0.067)	1.939(0.055)	1.65(0.05)	
1.2-1.35	2.35(0.09)	2.066(0.059)	1.881(0.053)	1.520(0.042)	1.28(0.04)	
1.35-1.5	1.76(0.07)	1.600(0.047)	1.454(0.043)	1.151(0.034)	0.858(0.029)	
1.5-1.7	1.36(0.05)	1.223(0.037)	1.052(0.032)	0.8358(0.0247)	0.632(0.022)	
1.7-2.0	0.88(0.03)	0.8167(0.0251)	0.6971(0.0218)	0.4972(0.0152)	0.365(0.013)	
2.0-2.5	0.448(0.017)	0.408(0.013)	0.402(0.014)	0.258(0.009)	0.173(0.007)	
2.5-3.0	0.235(0.012)	0.180(0.008)	0.177(0.008)	0.121(0.005)	0.076(0.005)	
3.0-4.0	0.087(0.005)	0.071(0.004)	0.091(0.005)	0.0413(0.0023)	0.0288(0.0023)	
4.0-5.0	0.041(0.005)	0.041(0.004)	0.036(0.004)	0.031(0.004)	0.0087(0.0011)	
5.0-6.0	0.043(0.009)	0.025(0.005)	0.053(0.013)	0.0132(0.0022)	0.0058(0.0015)	
