PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	1.15(0.07)	0.87(0.05)	0.85(0.05)	1.81(0.26)	
0.5-0.7	_	1.32(0.06)	1.06(0.04)	0.96(0.04)	1.13(0.10)	
0.7-0.8	_	1.51(0.09)	1.16(0.05)	1.09(0.05)	1.31(0.14)	
0.8-0.9	_	1.37(0.08)	1.08(0.05)	0.97(0.05)	0.94(0.08)	
0.9-1.0	1(0)	1.51(0.09)	1.04(0.04)	0.85(0.04)	0.80(0.07)	
1.0-1.1	5(3)	1.08(0.06)	0.90(0.04)	0.85(0.04)	0.70(0.06)	
1.1-1.2	1.9(0.4)	1.20(0.07)	1.00(0.05)	0.81(0.04)	0.60(0.05)	
1.2-1.35	1.41(0.18)	0.89(0.04)	0.78(0.03)	0.608(0.026)	0.55(0.04)	
1.35-1.5	1.00(0.12)	0.78(0.04)	0.72(0.03)	0.607(0.029)	0.392(0.030)	
1.5-1.7	0.72(0.07)	0.583(0.028)	0.556(0.024)	0.441(0.020)	0.255(0.018)	
1.7-2.0	0.60(0.05)	0.498(0.024)	0.432(0.020)	0.303(0.014)	0.155(0.010)	
2.0-2.5	0.348(0.025)	0.303(0.015)	0.238(0.012)	0.170(0.008)	0.100(0.007)	
2.5-3.0	0.157(0.014)	0.168(0.011)	0.156(0.011)	0.082(0.006)	0.056(0.006)	
3.0-4.0	0.097(0.011)	0.058(0.005)	0.054(0.005)	0.040(0.004)	0.035(0.005)	
4.0-5.0	0.035(0.006)	0.029(0.004)	0.040(0.006)	0.042(0.008)	_	
5.0-6.0	0.1(0.1)	0.031(0.008)	0.07(0.03)	0.012(0.003)	0.0(0.0)	
