PT\Y	-2.5--3.0	-3.0--3.5	-3.5--4.0	-4.0--4.5	-4.5--5.0	
0.15-0.5	_	0.74(0.04)	0.92(0.04)	1.02(0.06)	4.3(0.7)	
0.5-0.7	_	1.31(0.06)	1.21(0.04)	1.23(0.05)	1.85(0.15)	
0.7-0.8	_	1.65(0.09)	1.28(0.05)	1.28(0.06)	1.38(0.12)	
0.8-0.9	_	1.66(0.09)	1.25(0.05)	1.12(0.05)	1.07(0.08)	
0.9-1.0	2(1)	1.27(0.07)	1.19(0.05)	1.09(0.05)	1.00(0.07)	
1.0-1.1	6(3)	1.35(0.07)	1.19(0.05)	1.01(0.05)	0.88(0.06)	
1.1-1.2	2.4(0.6)	1.11(0.06)	1.03(0.04)	0.86(0.04)	1.06(0.09)	
1.2-1.35	1.03(0.13)	0.97(0.05)	0.91(0.04)	0.80(0.03)	0.74(0.05)	
1.35-1.5	0.84(0.09)	0.95(0.05)	0.741(0.031)	0.696(0.031)	0.66(0.05)	
1.5-1.7	0.72(0.06)	0.672(0.032)	0.651(0.027)	0.621(0.028)	0.420(0.030)	
1.7-2.0	0.53(0.04)	0.490(0.022)	0.494(0.022)	0.396(0.018)	0.221(0.014)	
2.0-2.5	0.345(0.024)	0.283(0.013)	0.278(0.013)	0.202(0.009)	0.148(0.011)	
2.5-3.0	0.189(0.017)	0.164(0.011)	0.135(0.009)	0.094(0.006)	0.084(0.010)	
3.0-4.0	0.115(0.013)	0.055(0.004)	0.073(0.006)	0.049(0.004)	0.036(0.005)	
4.0-5.0	0.073(0.017)	0.026(0.003)	0.040(0.006)	0.051(0.011)	0.0123(0.0027)	
5.0-6.0	0.2(0.2)	0.027(0.007)	0.0160(0.0029)	0.015(0.004)	_	
