PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	3.808(0.094)	3.316(0.077)	3.017(0.070)	2.693(0.065)	
0.5-0.7	3.93(0.20)	3.753(0.092)	3.214(0.076)	2.798(0.066)	2.393(0.059)	
0.7-0.8	3.77(0.18)	3.211(0.083)	2.672(0.066)	2.253(0.055)	1.899(0.051)	
0.8-0.9	3.17(0.14)	2.820(0.073)	2.398(0.061)	1.913(0.047)	1.522(0.042)	
0.9-1.0	2.47(0.10)	2.369(0.062)	2.045(0.053)	1.664(0.042)	1.260(0.036)	
1.0-1.1	2.17(0.08)	2.048(0.055)	1.757(0.046)	1.363(0.035)	1.0099(0.0304)	
1.1-1.2	1.82(0.07)	1.774(0.048)	1.445(0.039)	1.1472(0.0302)	0.924(0.029)	
1.2-1.35	1.63(0.06)	1.373(0.036)	1.1535(0.0306)	0.9191(0.0238)	0.7044(0.0220)	
1.35-1.5	1.23(0.04)	1.0994(0.0303)	0.8879(0.0246)	0.7206(0.0196)	0.543(0.019)	
1.5-1.7	0.95(0.03)	0.8055(0.0223)	0.6545(0.0184)	0.4909(0.0135)	0.413(0.015)	
1.7-2.0	0.626(0.021)	0.5285(0.0148)	0.4396(0.0128)	0.3306(0.0094)	0.238(0.009)	
2.0-2.5	0.319(0.011)	0.2887(0.0084)	0.2264(0.0070)	0.1623(0.0048)	0.115(0.005)	
2.5-3.0	0.160(0.007)	0.137(0.005)	0.110(0.005)	0.0785(0.0032)	0.0512(0.0030)	
3.0-4.0	0.0576(0.0029)	0.0546(0.0024)	0.0410(0.0021)	0.0300(0.0015)	0.0173(0.0013)	
4.0-5.0	0.0175(0.0018)	0.0188(0.0018)	0.0115(0.0012)	0.0107(0.0013)	0.0054(0.0010)	
5.0-6.0	0.0053(0.0009)	0.0057(0.0010)	0.0030(0.0006)	0.0025(0.0005)	0.002(0.001)	
