PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.576(0.026)	0.528(0.019)	0.576(0.029)	0.43(0.09)	
0.5-0.7	_	0.82(0.03)	0.7037(0.0221)	0.633(0.024)	0.64(0.06)	
0.7-0.8	_	1.07(0.06)	0.815(0.031)	0.73(0.04)	0.45(0.04)	
0.8-0.9	0.4(0.2)	0.89(0.05)	0.690(0.025)	0.575(0.026)	0.53(0.05)	
0.9-1.0	0.5(0.2)	0.79(0.04)	0.700(0.027)	0.540(0.025)	0.45(0.04)	
1.0-1.1	0.55(0.13)	0.92(0.05)	0.607(0.024)	0.509(0.024)	0.47(0.04)	
1.1-1.2	0.70(0.14)	0.70(0.04)	0.546(0.022)	0.454(0.021)	0.301(0.026)	
1.2-1.35	0.66(0.09)	0.636(0.031)	0.510(0.020)	0.402(0.017)	0.239(0.018)	
1.35-1.5	0.59(0.07)	0.563(0.029)	0.450(0.019)	0.357(0.017)	0.235(0.020)	
1.5-1.7	0.48(0.05)	0.473(0.023)	0.342(0.014)	0.275(0.013)	0.186(0.016)	
1.7-2.0	0.349(0.026)	0.335(0.015)	0.252(0.011)	0.174(0.008)	0.109(0.009)	
2.0-2.5	0.205(0.014)	0.170(0.007)	0.127(0.006)	0.104(0.005)	0.060(0.005)	
2.5-3.0	0.116(0.011)	0.086(0.005)	0.067(0.004)	0.0436(0.0029)	0.027(0.004)	
3.0-4.0	0.0338(0.0030)	0.0287(0.0020)	0.0225(0.0019)	0.0144(0.0013)	0.0058(0.0009)	
4.0-5.0	0.0079(0.0013)	0.0094(0.0015)	0.0032(0.0005)	0.0032(0.0006)	0.003(0.001)	
5.0-6.0	_	0.0025(0.0007)	0.003(0.001)	0.01(0.00)	0.001(0.001)	
