PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.623(0.027)	0.588(0.020)	0.598(0.028)	0.59(0.14)	
0.5-0.7	_	0.86(0.03)	0.7710(0.0237)	0.692(0.025)	0.61(0.05)	
0.7-0.8	_	0.80(0.04)	0.821(0.029)	0.72(0.03)	0.61(0.05)	
0.8-0.9	_	0.85(0.04)	0.716(0.025)	0.678(0.030)	0.50(0.04)	
0.9-1.0	0.6(0.2)	0.92(0.05)	0.726(0.027)	0.542(0.023)	0.427(0.031)	
1.0-1.1	0.80(0.24)	0.85(0.05)	0.675(0.026)	0.565(0.025)	0.48(0.04)	
1.1-1.2	0.50(0.09)	0.74(0.04)	0.578(0.023)	0.471(0.020)	0.339(0.027)	
1.2-1.35	0.54(0.06)	0.632(0.029)	0.523(0.019)	0.397(0.016)	0.296(0.021)	
1.35-1.5	0.49(0.06)	0.537(0.026)	0.423(0.017)	0.363(0.016)	0.233(0.017)	
1.5-1.7	0.47(0.04)	0.453(0.021)	0.353(0.014)	0.282(0.012)	0.172(0.012)	
1.7-2.0	0.364(0.027)	0.308(0.013)	0.274(0.011)	0.191(0.008)	0.145(0.011)	
2.0-2.5	0.221(0.014)	0.179(0.008)	0.138(0.006)	0.108(0.005)	0.083(0.007)	
2.5-3.0	0.120(0.011)	0.093(0.005)	0.064(0.004)	0.0476(0.0031)	0.029(0.004)	
3.0-4.0	0.0339(0.0030)	0.0306(0.0021)	0.0233(0.0018)	0.0153(0.0013)	0.0055(0.0007)	
4.0-5.0	0.0075(0.0012)	0.0052(0.0007)	0.0049(0.0008)	0.0029(0.0005)	0.0019(0.0006)	
5.0-6.0	0.003(0.001)	0.0015(0.0003)	0.0014(0.0004)	0.0011(0.0003)	_	
