PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	3.518(0.062)	3.107(0.051)	2.814(0.046)	2.529(0.043)	
0.5-0.7	3.83(0.14)	3.457(0.060)	3.009(0.051)	2.571(0.043)	2.238(0.039)	
0.7-0.8	3.39(0.11)	2.933(0.054)	2.504(0.044)	2.099(0.036)	1.774(0.034)	
0.8-0.9	2.854(0.086)	2.590(0.048)	2.213(0.040)	1.799(0.032)	1.4740(0.0292)	
0.9-1.0	2.330(0.065)	2.189(0.041)	1.892(0.035)	1.5279(0.0274)	1.2070(0.0249)	
1.0-1.1	1.962(0.053)	1.887(0.036)	1.6269(0.0304)	1.2674(0.0232)	0.9834(0.0211)	
1.1-1.2	1.719(0.047)	1.6176(0.0314)	1.3284(0.0255)	1.0687(0.0201)	0.8457(0.0192)	
1.2-1.35	1.448(0.035)	1.2648(0.0238)	1.0941(0.0207)	0.8479(0.0157)	0.6694(0.0149)	
1.35-1.5	1.1480(0.0292)	0.9969(0.0196)	0.8431(0.0167)	0.6605(0.0128)	0.4907(0.0118)	
1.5-1.7	0.8712(0.0216)	0.7481(0.0148)	0.6185(0.0125)	0.4725(0.0093)	0.3741(0.0094)	
1.7-2.0	0.5705(0.0138)	0.4978(0.0100)	0.4022(0.0083)	0.3123(0.0064)	0.2245(0.0058)	
2.0-2.5	0.3012(0.0075)	0.2665(0.0056)	0.2189(0.0049)	0.1570(0.0034)	0.10779(0.00305)	
2.5-3.0	0.140(0.004)	0.1235(0.0033)	0.10284(0.00307)	0.07446(0.00215)	0.0445(0.0018)	
3.0-4.0	0.0534(0.0020)	0.0476(0.0015)	0.0389(0.0014)	0.0283(0.0010)	0.0161(0.0009)	
4.0-5.0	0.0163(0.0012)	0.0158(0.0011)	0.0136(0.0011)	0.0096(0.0008)	0.0044(0.0006)	
5.0-6.0	0.0058(0.0008)	0.0038(0.0004)	0.0035(0.0005)	0.00205(0.00028)	0.0017(0.0005)	
