PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.546(0.018)	0.5447(0.0150)	0.519(0.020)	0.40(0.06)	
0.5-0.7	_	0.7795(0.0233)	0.7022(0.0164)	0.5895(0.0165)	0.53(0.03)	
0.7-0.8	_	0.89(0.04)	0.7589(0.0210)	0.648(0.023)	0.50(0.03)	
0.8-0.9	0.5(0.2)	0.84(0.03)	0.6661(0.0180)	0.571(0.019)	0.499(0.031)	
0.9-1.0	0.29(0.06)	0.736(0.029)	0.6455(0.0179)	0.527(0.018)	0.435(0.026)	
1.0-1.1	0.94(0.20)	0.772(0.032)	0.6052(0.0175)	0.463(0.015)	0.387(0.024)	
1.1-1.2	0.58(0.08)	0.658(0.026)	0.5272(0.0159)	0.477(0.017)	0.268(0.016)	
1.2-1.35	0.66(0.06)	0.562(0.019)	0.5014(0.0141)	0.3864(0.0119)	0.250(0.014)	
1.35-1.5	0.54(0.04)	0.533(0.020)	0.3990(0.0120)	0.326(0.011)	0.199(0.012)	
1.5-1.7	0.451(0.031)	0.426(0.015)	0.3109(0.0093)	0.258(0.008)	0.172(0.010)	
1.7-2.0	0.329(0.018)	0.314(0.010)	0.2302(0.0071)	0.170(0.005)	0.103(0.006)	
2.0-2.5	0.187(0.009)	0.161(0.005)	0.126(0.004)	0.0926(0.0032)	0.0516(0.0030)	
2.5-3.0	0.093(0.006)	0.082(0.004)	0.0570(0.0026)	0.0415(0.0020)	0.0268(0.0027)	
3.0-4.0	0.0346(0.0023)	0.0263(0.0014)	0.0203(0.0012)	0.0146(0.0010)	0.0055(0.0006)	
4.0-5.0	0.0078(0.0010)	0.0081(0.0010)	0.0032(0.0004)	0.0029(0.0004)	0.0014(0.0004)	
5.0-6.0	0.02(0.01)	0.0029(0.0007)	0.0025(0.0007)	0.00089(0.00024)	0.001(0.000)	
