PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.605(0.019)	0.5593(0.0143)	0.570(0.019)	0.86(0.17)	
0.5-0.7	_	0.8249(0.0237)	0.7416(0.0167)	0.6332(0.0166)	0.553(0.031)	
0.7-0.8	_	0.796(0.029)	0.7576(0.0199)	0.669(0.022)	0.58(0.03)	
0.8-0.9	_	0.84(0.03)	0.6760(0.0174)	0.650(0.021)	0.536(0.030)	
0.9-1.0	1(0)	0.86(0.03)	0.6701(0.0177)	0.572(0.018)	0.422(0.022)	
1.0-1.1	0.54(0.10)	0.760(0.029)	0.6215(0.0170)	0.5024(0.0158)	0.496(0.030)	
1.1-1.2	0.66(0.09)	0.700(0.027)	0.5538(0.0158)	0.469(0.015)	0.341(0.019)	
1.2-1.35	0.57(0.05)	0.564(0.018)	0.5075(0.0136)	0.3910(0.0111)	0.286(0.014)	
1.35-1.5	0.60(0.05)	0.505(0.017)	0.4136(0.0119)	0.3382(0.0104)	0.227(0.012)	
1.5-1.7	0.427(0.027)	0.423(0.014)	0.3339(0.0097)	0.2618(0.0080)	0.166(0.008)	
1.7-2.0	0.364(0.019)	0.2904(0.0090)	0.2489(0.0074)	0.1732(0.0053)	0.126(0.007)	
2.0-2.5	0.208(0.010)	0.1686(0.0053)	0.1307(0.0041)	0.099(0.003)	0.069(0.004)	
2.5-3.0	0.096(0.006)	0.080(0.003)	0.0608(0.0027)	0.0425(0.0019)	0.0223(0.0018)	
3.0-4.0	0.0319(0.0020)	0.0288(0.0015)	0.0198(0.0011)	0.0138(0.0008)	0.0058(0.0006)	
4.0-5.0	0.0077(0.0010)	0.0059(0.0006)	0.0047(0.0006)	0.0028(0.0004)	0.0023(0.0006)	
5.0-6.0	0.0023(0.0006)	0.00125(0.00023)	0.0015(0.0003)	0.002(0.000)	0.002(0.001)	
