PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	3.685(0.091)	3.298(0.077)	2.973(0.069)	2.690(0.065)	
0.5-0.7	4.22(0.22)	3.612(0.089)	3.191(0.076)	2.676(0.063)	2.370(0.058)	
0.7-0.8	3.46(0.16)	3.039(0.079)	2.658(0.066)	2.214(0.054)	1.877(0.051)	
0.8-0.9	2.91(0.12)	2.698(0.070)	2.312(0.058)	1.918(0.048)	1.617(0.045)	
0.9-1.0	2.49(0.10)	2.294(0.060)	1.982(0.051)	1.590(0.040)	1.309(0.038)	
1.0-1.1	2.01(0.08)	1.971(0.053)	1.707(0.045)	1.335(0.034)	1.083(0.033)	
1.1-1.2	1.84(0.07)	1.673(0.046)	1.383(0.037)	1.1271(0.0296)	0.877(0.028)	
1.2-1.35	1.46(0.05)	1.322(0.035)	1.1748(0.0312)	0.8863(0.0230)	0.7191(0.0225)	
1.35-1.5	1.21(0.04)	1.0253(0.0282)	0.9063(0.0252)	0.6862(0.0186)	0.503(0.017)	
1.5-1.7	0.91(0.03)	0.7885(0.0220)	0.6622(0.0188)	0.5152(0.0143)	0.384(0.014)	
1.7-2.0	0.590(0.020)	0.5323(0.0151)	0.4170(0.0120)	0.3339(0.0095)	0.240(0.009)	
2.0-2.5	0.323(0.011)	0.2791(0.0082)	0.2401(0.0075)	0.1724(0.0052)	0.114(0.005)	
2.5-3.0	0.139(0.006)	0.127(0.005)	0.109(0.005)	0.080(0.003)	0.0440(0.0025)	
3.0-4.0	0.0562(0.0029)	0.0470(0.0021)	0.0417(0.0021)	0.0303(0.0015)	0.0170(0.0013)	
4.0-5.0	0.0171(0.0017)	0.0152(0.0013)	0.0181(0.0022)	0.0099(0.0011)	0.0042(0.0007)	
5.0-6.0	0.0073(0.0015)	0.0030(0.0004)	0.0048(0.0011)	0.0020(0.0003)	0.002(0.001)	
