PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.584(0.026)	0.646(0.024)	0.530(0.028)	0.42(0.09)	
0.5-0.7	_	0.84(0.04)	0.799(0.026)	0.622(0.024)	0.50(0.04)	
0.7-0.8	_	0.85(0.05)	0.801(0.030)	0.649(0.031)	0.63(0.06)	
0.8-0.9	1(0)	0.90(0.05)	0.731(0.027)	0.646(0.031)	0.53(0.05)	
0.9-1.0	0.21(0.05)	0.77(0.04)	0.675(0.026)	0.585(0.028)	0.48(0.04)	
1.0-1.1	3(2)	0.74(0.04)	0.685(0.028)	0.477(0.022)	0.365(0.030)	
1.1-1.2	0.55(0.10)	0.71(0.04)	0.579(0.025)	0.572(0.029)	0.271(0.022)	
1.2-1.35	0.75(0.10)	0.564(0.027)	0.560(0.022)	0.421(0.018)	0.295(0.023)	
1.35-1.5	0.55(0.06)	0.571(0.030)	0.402(0.016)	0.338(0.015)	0.192(0.015)	
1.5-1.7	0.48(0.05)	0.435(0.021)	0.320(0.013)	0.274(0.012)	0.181(0.015)	
1.7-2.0	0.351(0.027)	0.334(0.016)	0.239(0.010)	0.189(0.009)	0.109(0.008)	
2.0-2.5	0.193(0.013)	0.173(0.008)	0.142(0.007)	0.094(0.004)	0.051(0.004)	
2.5-3.0	0.087(0.007)	0.090(0.006)	0.055(0.003)	0.0448(0.0030)	0.029(0.004)	
3.0-4.0	0.040(0.004)	0.0273(0.0019)	0.0207(0.0016)	0.0167(0.0015)	0.0058(0.0008)	
4.0-5.0	0.0085(0.0014)	0.0080(0.0013)	0.0037(0.0006)	0.0030(0.0006)	0.00075(0.00023)	
5.0-6.0	0.01(0.01)	0.004(0.002)	0.002(0.001)	0.00052(0.00015)	0.001(0.001)	
