PT\Y	1.5-2.0	2.0-2.5	2.5-3.0	3.0-3.5	3.5-4.0	
0.15-0.5	_	0.663(0.029)	0.602(0.020)	0.613(0.028)	2(1)	
0.5-0.7	_	0.90(0.04)	0.8070(0.0249)	0.655(0.023)	0.57(0.04)	
0.7-0.8	_	0.89(0.05)	0.792(0.028)	0.703(0.031)	0.61(0.05)	
0.8-0.9	_	0.94(0.05)	0.722(0.025)	0.704(0.032)	0.66(0.05)	
0.9-1.0	_	0.91(0.05)	0.700(0.025)	0.687(0.031)	0.47(0.03)	
1.0-1.1	0.43(0.10)	0.77(0.04)	0.647(0.024)	0.508(0.022)	0.57(0.05)	
1.1-1.2	0.89(0.17)	0.75(0.04)	0.599(0.023)	0.534(0.025)	0.385(0.031)	
1.2-1.35	0.66(0.08)	0.572(0.025)	0.557(0.021)	0.436(0.017)	0.313(0.022)	
1.35-1.5	0.80(0.10)	0.537(0.026)	0.458(0.018)	0.357(0.015)	0.251(0.019)	
1.5-1.7	0.44(0.04)	0.448(0.021)	0.357(0.014)	0.275(0.012)	0.180(0.013)	
1.7-2.0	0.410(0.031)	0.310(0.013)	0.257(0.010)	0.178(0.007)	0.124(0.009)	
2.0-2.5	0.221(0.014)	0.180(0.008)	0.140(0.006)	0.102(0.005)	0.066(0.005)	
2.5-3.0	0.089(0.007)	0.079(0.005)	0.066(0.004)	0.0430(0.0026)	0.0195(0.0022)	
3.0-4.0	0.0339(0.0029)	0.0309(0.0022)	0.0192(0.0014)	0.0140(0.0011)	0.0071(0.0010)	
4.0-5.0	0.0094(0.0018)	0.0075(0.0011)	0.0050(0.0008)	0.0032(0.0006)	0.004(0.002)	
5.0-6.0	0.002(0.001)	0.00122(0.00028)	0.0018(0.0005)	_	0.001(0.000)	
